m,n,heuristic,cpu_time,correct,solution_length,search_nodes_generated
10,0,BF,0.125,True,10,1767
10,1,BF,0.09375,True,10,1517
10,2,BF,0.109375,True,10,1659
10,3,BF,0.109375,True,10,1903
10,4,BF,0.125,True,10,1919
10,5,BF,0.09375,True,10,1447
10,6,BF,0.109375,True,10,1459
10,7,BF,0.015625,True,6,223
10,8,BF,0.140625,True,10,1945
10,9,BF,0.09375,True,10,1907
10,0,MT,0.0,True,10,117
10,1,MT,0.015625,True,10,65
10,2,MT,0.015625,True,10,73
10,3,MT,0.0,True,10,31
10,4,MT,0.015625,True,10,86
10,5,MT,0.015625,True,10,61
10,6,MT,0.015625,True,10,50
10,7,MT,0.0,True,6,33
10,8,MT,0.0,True,10,88
10,9,MT,0.0,True,10,65
10,0,CB,0.0,True,10,43
10,1,CB,0.0,True,10,28
10,2,CB,0.0,True,10,28
10,3,CB,0.0,True,10,26
10,4,CB,0.0,True,10,30
10,5,CB,0.0,True,10,28
10,6,CB,0.015625,True,10,28
10,7,CB,0.0,True,6,25
10,8,CB,0.0,True,10,59
10,9,CB,0.0,True,10,28
10,0,NA,0.0,True,10,43
10,1,NA,0.015625,True,10,28
10,2,NA,0.0,True,10,28
10,3,NA,0.0,True,10,26
10,4,NA,0.015625,True,10,54
10,5,NA,0.015625,True,10,28
10,6,NA,0.0,True,10,28
10,7,NA,0.015625,True,6,33
10,8,NA,0.015625,True,10,59
10,9,NA,0.015625,True,10,28
20,0,BF,12.765625,True,20,183021
20,1,BF,10.40625,True,20,151681
20,2,BF,10.859375,True,20,157729
20,3,BF,2.703125,True,16,42883
20,4,BF,10.140625,True,20,148527
20,5,BF,10.34375,True,20,155101
20,6,BF,13.890625,True,20,205095
20,7,BF,2.234375,True,16,32509
20,8,BF,14.0,True,20,201067
20,9,BF,4.03125,True,18,62431
20,0,MT,0.890625,True,20,5862
20,1,MT,0.890625,True,20,5463
20,2,MT,1.15625,True,20,7916
20,3,MT,0.21875,True,16,1274
20,4,MT,0.96875,True,20,6357
20,5,MT,1.265625,True,20,8585
20,6,MT,1.109375,True,20,7181
20,7,MT,0.21875,True,16,1322
20,8,MT,0.9375,True,20,5949
20,9,MT,0.34375,True,18,2514
20,0,CB,0.078125,True,20,659
20,1,CB,0.046875,True,20,397
20,2,CB,0.203125,True,20,1411
20,3,CB,0.0,True,16,78
20,4,CB,0.03125,True,20,135
20,5,CB,0.15625,True,20,1015
20,6,CB,0.078125,True,20,552
20,7,CB,0.03125,True,16,225
20,8,CB,0.046875,True,20,580
20,9,CB,0.03125,True,18,266
20,0,NA,0.0625,True,20,460
20,1,NA,0.046875,True,20,207
20,2,NA,0.390625,True,20,1708
20,3,NA,0.046875,True,16,207
20,4,NA,0.078125,True,20,327
20,5,NA,0.296875,True,20,1611
20,6,NA,0.25,True,20,1200
20,7,NA,0.09375,True,16,389
20,8,NA,0.109375,True,20,471
20,9,NA,0.0625,True,18,288
30,0,BF,46.859375,True,24,661603
30,1,BF,42.796875,True,24,615419
30,2,BF,26.921875,True,22,396341
30,3,BF,2.328125,True,16,35863
30,4,BF,55.375,False,0,775429
30,5,BF,11.953125,True,20,167771
30,6,BF,0.9375,True,14,14013
30,7,BF,31.4375,True,22,423797
30,8,BF,52.09375,True,24,707967
30,9,BF,5.40625,True,18,78549
30,0,MT,6.171875,True,24,37742
30,1,MT,5.53125,True,24,34759
30,2,MT,3.28125,True,22,20131
30,3,MT,0.171875,True,16,1101
30,4,MT,12.1875,True,26,77402
30,5,MT,1.03125,True,20,6278
30,6,MT,0.078125,True,14,442
30,7,MT,2.375,True,22,14643
30,8,MT,5.609375,True,24,34882
30,9,MT,0.625,True,18,3717
30,0,CB,0.453125,True,24,2997
30,1,CB,0.234375,True,24,1583
30,2,CB,0.265625,True,22,1768
30,3,CB,0.0625,True,16,445
30,4,CB,0.40625,True,26,2831
30,5,CB,0.125,True,20,762
